;;;;;;;;;;;;;;
LABORATUVAR SARF MALZEMELERÝ — ÜRÜN GÝRÝÞ ÞABLONU;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
NO;ÜRÜN KÝMLÝÐÝ;;;;TEKNÝK ÖZELLÝKLER;;;;PAKETLEME;;TEDARÝKÇÝ;WEB / NOTLAR;;
No;Ürün Adý (TR);Ürün Adý (EN);Katalog No;Marka / Üretici;Kategori;Alt Kategori;Birim / Miktar;Teknik Notlar;Ambalaj Birimi;Adet / Paket;Tedarikçi;Ürün URL;Ek Notlar;Note
Oto;Türkçe tam adý girin;Ýngilizce / orijinal ad;Ör: 4393927;Ör: Thermo Fisher;? seçin;Ör: Steril filtreli uç;Ör: 10 ?L / 96 adet;Spesifikasyon, saflýk, sýcaklýk vb.;Ör: Kutu / Kit / Þiþe;Ör: 96 / 1000;Yerel / global tedarikçi;Üretici katalog linki;Depolama koþulu, özel not vb.;
1;3500 analizörü için POP-4 polimer, 384 test;POP-4 Polymer for 3500 analyzer, 384 tests;4393715;Thermo Fisher Scientific, USA;Genomik & Sekanslama;Capillary electrophoresis polymer;24 ????/ pack;"POP-4 separation matrix optimized for HID/forensic CE; 384 samples/pouch; compatible with 3500/SeqStudio Flex";Pouch;384 samples;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4393715;"Store at 2–8°C; on-instrument limit 14 days at ?25°C";
2;3500 analizörü için anot tampon kabý, 4 adet/paket;Anode Buffer Container for 3500 analyzer, 4 pcs/pack;4393927;Life Technologies Corporation;Genomik & Sekanslama;Capillary electrophoresis buffer;6 ????/ pack;"1x running buffer for CE on 3500 series genetic analyzers; disposable, ready-to-use container; 4 pcs/pack";Pack;4;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4393927;"Replace every 14 days or before each run; store at 2–8°C";
3;3500 analizörü için katot tampon kabý, 4 adet/paket;Cathode Buffer Container for 3500 analyzer, 4 pcs/pack;4408256;Life Technologies Corporation;Genomik & Sekanslama;Capillary electrophoresis buffer;6 ????/ pack;"1x running buffer with dual-compartment design for 3500 series genetic analyzers; 4 pcs/pack";Pack;4;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4408256;"Replace every 14 days or before each run; store at 2–8°C";
4;Hi-Di™ Formamid reaktifi, 5 ml;Hi-Di™ Formamide reagent, 5 ml;4401457;Life Technologies Corporation;Genomik & Sekanslama;Formamide denaturation reagent;5 ????/ pack;"Hi-Di Formamide; deionized formamide for sample denaturation prior to CE; 5 mL bottle";Bottle;5 mL;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4401457;"Store at -20°C; protect from light";
5;3500 Genetik Analizör için koþullandýrma reaktifi;Conditioning Reagent for 3500 Genetic Analyzer;4393718;Life Technologies Corporation;Genomik & Sekanslama;Instrument conditioning reagent;24 ????/ pack;Conditioning reagent for washing capillary channels on 3500 Genetic Analyzer;Pack;1;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4393718;"Store at RT; use before each polymer change";
6;3500 için GeneScan - 600 LIZ laboratuvar reaktifi;GeneScan - 600 LIZ laboratory reagent for 3500;4408399;Thermo Fisher Scientific, USA;Genomik & Sekanslama;Size standard;2 ????/ pack;"GeneScan 600 LIZ Size Standard; 600 bp dye-labeled size standard for CE fragment analysis";Pack;2;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4408399;"Store at -20°C; protect from light";
7;Quantifiler™ Trio DNA Kantifikasyon Kiti, 400 test;Quantifiler™ Trio DNA Quantification Kit, 400 tests;4482910;Thermo Fisher Scientific, USA;Genomik & Sekanslama;DNA quantification kit;3 ?????/ kit;"Simultaneous quantification of human total & male DNA via real-time PCR; sensitivity 5 pg/?L–100 ng/?L; ISO 18385 compliant";Kit;400 rxn;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4482910;"Store at -20°C; for forensic/paternity use only";
8;GlobalFiler™ Express PCR Amplifikasyon Kiti, 200 test;GlobalFiler™ Express PCR Amplification Kit, 200 tests;4474566;Thermo Fisher Scientific, USA;Genomik & Sekanslama;STR PCR amplification kit;4 ?????/ kit;"6-dye, 24-locus STR kit for database/single-source samples; ~40 min amplification; CODIS/ENFSI compatible";Kit;200 rxn;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4474566;"Store at -15°C to -25°C; after opening store at 2–8°C for up to 6 months";"4474566 is not available; web evidence for this product line points to 4476609/4474665, not 4474566."
