No;"PRODUCT NAME ""EN""";"PRODUCT NAME ""RU""";CAT No.
1; POP-4 Polymer for 3500 analyzer;Полимер POP-4 для анализатора 3500;GREENMED0114DM7543
2;Anode Buffer Container for 3500 analyzer;Контейнер с анодным буфером для анализатора 3500;GREENMED6816PJ7220
3;Cathode Buffer Container for 3500 analyzer;Контейнер с катодным буфером для анализатора 3500;GREENMED1530EA3779
4;Hi-Di™ Formamide reagent, 5 ml;Реагент Формамид Hi-Di™ , 5 мл;GREENMED8098EY2053
5; Conditioning Reagent for 3500 Genetic Analyzer;Кондиционирующий реагент для генетического анализатора 3500;GREENMED7901JB2961
6; GeneScan - 600 LIZ laboratory reagent for 3500 analyzer;Лабораторный реагент GeneScan - 600 LIZ для анализатора 3500;GREENMED0979DY1015
7;Quantifiler™ Trio DNA Quantification Kit;Набор для количественного определения ДНК Quantifiler™ Trio;GREENMED9376EA8085
8;GlobalFiler™ Express PCR Amplification Kit;Набор для ПЦР-амплификации GlobalFiler™ Express;GREENMED0092SX4626
9;GlobalFiler™ PCR Amplification Kit;Набор для ПЦР-амплификации GlobalFiler™;GREENMED9581HQ0911
10;Prep-n-Go™ Buffer (for buccal swabs);Буфер Prep-n-Go™ (для буккальных мазков);GREENMED0055BQ4811
11;Forensic DNA Extraction Kit, PrepFiler Express™;Набор для судебной экстракции ДНК PrepFiler Express™;GREENMED7487EF8196
12;Forensic DNA Extraction Kit, PrepFiler Express BTA™;Набор для судебной экстракции ДНК PrepFiler Express BTA™;GREENMED5635XI7506
13;PMB test for blood stain identification;"Тест ""PMB"" для идентификации пятен крови";GREENMED6609XL5348
14;Antiserum against human serum proteins;Антисыворотка против белков сыворотки крови человека;GREENMED9497PQ1869
15;Antiserum against porcine serum proteins;Антисыворотка против белков сыворотки крови свиньи;GREENMED1005EI8662
16;Antiserum against cattle serum proteins;Антисыворотка против белков сыворотки крови КРС;GREENMED8265FX3816
17;Antiserum against equine serum proteins;Антисыворотка против белков сыворотки крови лошади;GREENMED2293VJ3765
18;Antiserum against avian serum proteins;Антисыворотка против белков сыворотки крови птицы;GREENMED9585PF1518
19;Antiserum against dog serum proteins;Антисыворотка против белков сыворотки крови собаки;GREENMED0077RI4432
20;Antiserum against cat serum proteins;Антисыворотка против белков сыворотки крови кошки;GREENMED9017HJ3320
21;Antiserum against rabbit serum proteins;Антисыворотка к белкам сыворотки кролика;GREENMED2515ZA5405
22;Anti-M hemagglutinating serum;Гемагглютинирующая сыворотка Анти-М;GREENMED6779WC5851
23;Anti-N hemagglutinating serum;Гемагглютинирующая сыворотка Анти-N;GREENMED3387SO2129
24;Anti-P hemagglutinating serum;Гемагглютинирующая сыворотка Анти-Р;GREENMED6502LF9029
25;Kell hemagglutinating serum;Гемагглютинирующая сыворотка Келла;GREENMED3971YT0945
26;Anti-A Monoclonal Antibodies for Blood Typing;Мон. антитела Анти-А (группа крови);GREENMED3779ZP3991
27;Anti-B Monoclonal Antibodies for Blood Typing;Мон. антитела Анти-В (группа крови);GREENMED8328XP6195
28;Anti-H Monoclonal Antibodies for Blood Typing;Мон. антитела Анти-Н (группа крови);GREENMED1478MK1618
29; Anti-D monoclonal blood grouping reagent;Мон. реагент Анти-D (группа крови);GREENMED3243TI9650
30;Microtome blades (50pcs/pack);Лезвия для микротома (50 шт./уп.);GREENMED5362YN0742
31; Mayer's Hematoxylin 1 L.;Гематоксилин Майера, 1 л.;GREENMED5783NG5554
32;Eosin water-alcoholic concentrated;Эозин водно-спиртовой конц.;GREENMED3001ZW2417
33;Reverse Osmosis cartridge for PURELAB Option-R 7/15;Картридж обратного осмоса для PURELAB Option-R 7/15;GREENMED9005YT1267
34;UV Lamp for PURELAB Option-R;УФ-лампа для PURELAB Option-R;GREENMED4100OB6296
35;Purification Pack for PURELAB Option-R;Пакет очистки для PURELAB Option-R;GREENMED1698SO4565
36;UV Lamp, 185/254 nm;УФ-лампа, 185/254 нм;GREENMED2635IE4827
37;Glycerin;Глицерин;GREENMED0327MI0931
38;Ethyl Alcohol Reagent;Реагент Этиловый спирт;GREENMED4590QM2614
39;Alcohol High Control;Высокий контрольный раствор спирта;GREENMED2247DS8005
40;Ethyl Alcohol Low Control;Низкий контрольный раствор этилового спирта;GREENMED6216LI6871
41;Alcohol Negative Calibrator;Отрицательный калибратор спирта;GREENMED7589YE6534
42;Alcohol Calibrator;Калибратор спирта;GREENMED9206EM0803
43;Ribbon Cartridge (for EPSON ERC-09);Картридж с лентой (для EPSON ERC-09);GREENMED8579JU6299
