;;;;;;;;;;;;;;;;
LABORATUVAR SARF MALZEMELERÝ — ÜRÜN GÝRÝÞ ÞABLONU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
NO;ÜRÜN KÝMLÝÐÝ;;;;TEKNÝK ÖZELLÝKLER;;;;;PAKETLEME;;;TEDARÝKÇÝ;WEB / NOTLAR;;
No;Ürün Adý (TR);Ürün Adý (EN);Katalog No;Marka / Üretici;Kategori;Alt Kategori;Birim / Miktar;Teknik Notlar;;Ambalaj Birimi;Adet / Paket;Yeni Ambalaj Birimi;Tedarikçi;Ürün URL;Ek Notlar;Note
Oto;Türkçe tam adý girin;Ýngilizce / orijinal ad;Ör: 4393927;Ör: Thermo Fisher;? seçin;Ör: Steril filtreli uç;Ör: 10 ?L / 96 adet;Spesifikasyon, saflýk, sýcaklýk vb.;;Ör: Kutu / Kit / Þiþe;Ör: 96 / 1000;;Yerel / global tedarikçi;Üretici katalog linki;Depolama koþulu, özel not vb.;
1; POP-4 Polymer for 3500 analyzer; POP-4 Polymer for 3500 analyzer;4393715;Thermo Fisher Scientific, USA;Genomik & Sekanslama;Capillary electrophoresis polymer;24 ????/ pack;POP-4, POP-6, and POP-7 are conveniently offered in easy to use pouch packages. The POP-4 separation matrix is optimized for HID/forensic applications.;"POP-4, POP-6, and POP-7 are conveniently offered in easy to use pouch packages, POP-4 separation matrix is optimized for HID/forensic applications. POP polymers dynamically coat the capillary wall to control electro-osmotic flow. Their definite quality and uniform consistency eliminate guesswork and help to ensure reproducibility. POP Polymers are specifically formulated to separate DNA fragments of a known size range at a desired resolution and run time.
POP-4, POP-6, and POP-7 are conveniently offered in easy to use pouch packages with multiple sample size formats. The POP-4 separation matrix is optimized for HID/forensic applications. 

• Easy to use: Pre-formulated and in a single use pouch, which not only saves time but also ensures reliability and consistency
• Include radio frequency identification (RFID) label: easy to track important information such as part/lot number, samples remaining, and expiry dates (displayed on software dashboard)
• Robust formulation: formulated for sequencing and fragment analysis applications
• Replenishable: alow capillaries to be used multiple times

Reproducible Results
POP polymers dynamically coat the capillary wall to control electro-osmotic flow. Their definite quality and uniform consistency eliminate guesswork and help to ensure reproducibility. POP Polymers are specifically formulated to separate DNA fragments of a known size range at a desired resolution and run time.

Many Choices
POP-7 polymers are very versatile and designed for a wide range of short read to long read sequencing applications as well as fragment analysis. POP-4 polymers are designed specifically for HID/Forensic applications, while POP-6 polymers are the choice for certain sequencing applications (and fragment analysis).

For partially used pouches that need to be stored, a cap (4412619) that plugs into the pouch fitment opening is recommended.

For Research Use Only. Not for use in diagnostic procedures.";Pack;384 samples;pack;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4393715;"Store at 2–8°C; on-instrument limit 14 days at ?25°C";
2;Anode Buffer Container for 3500 analyzer;Anode Buffer Container for 3500 analyzer;4393927;Life Technologies Corporation;Genomik & Sekanslama;Capillary electrophoresis buffer;6 ????/ pack;The Anode Buffer Container (ABC) contains 1X running buffer to support all electrophoresis applications on the Applied Biosystems 3500 and SeqStudio Flex series genetic analyzers.;"The Anode Buffer Container (ABC) contains 1X running buffer to support all electrophoresis applications on the Applied Biosystems 3500 and SeqStudio Flex series genetic analyzers. It is made in a ready-to-use, disposable container with a radio frequency identification (RFID) tag incorporated into the label. The top of the ABC is heat sealed with a plastic film, which should be removed prior to direct installation on the instrument. Each package includes four individual containers.
For Research Use Only. Not for use in diagnostic procedures.";Pack;4;pack;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4393927;"Replace every 14 days or before each run; store at 2–8°C";
3;Cathode Buffer Container for 3500 analyzer;Cathode Buffer Container for 3500 analyzer;4408256;Life Technologies Corporation;Genomik & Sekanslama;Capillary electrophoresis buffer;6 ????/ pack;The cathode buffer container (CBC) contains 1X running buffer to support all electrophoresis applications on Applied Biosystems 3500 and SeqStudio Flex series genetic analyzers.;"The cathode buffer container (CBC) contains 1X running buffer to support all electrophoresis applications on Applied Biosystems 3500 and SeqStudio Flex series genetic analyzers. The container has two separate compartments, the left side provides the cathode buffer for electrophoresis and the right side provides for a capillary wash and spent polymer waste ejection functionality between injections.

The CBC is made in a ready-to-use, disposable container with a radio frequency identification (RFID) tag incorporated into the label. The top of the CBC is heat sealed with a plastic film, which should be removed prior to direct installation on to the instrument. Each package includes four individual containers.

For Research Use Only. Not for use in diagnostic procedures.";Pack;4;pack;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4408256;"Replace every 14 days or before each run; store at 2–8°C";
4;Hi-Di™ Formamide reagent, 5 ml;Hi-Di™ Formamide reagent, 5 ml;4401457;Life Technologies Corporation;Genomik & Sekanslama;Formamide denaturation reagent;5 ????/ pack;"Hi-Di Formamide; deionized formamide for sample denaturation prior to CE; 5 mL bottle";"Highly deionized (Hi-Di) formamide is used to resuspend samples before electrokinetic injection in capillary electrophoresis systems. This smaller configuration (5 mL) minimizes the number of freeze/thaw cycles compared to larger volumes and may be a better choice when running a smaller number of samples.
For research use only";Bottle;5 mL;pack;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4401457;"Store at -20°C; protect from light";
5; Conditioning Reagent for 3500 Genetic Analyzer; Conditioning Reagent for 3500 Genetic Analyzer;4393718;Life Technologies Corporation;Genomik & Sekanslama;Instrument conditioning reagent;24 ????/ pack;Conditioning reagent for washing capillary channels on 3500 Genetic Analyzer;"Conditioning Reagent is offered here as ready-to-use pouch compatible with 3500 and SeqStudio Flex series genetic analyzers. It is designed to be used for priming the polymer pump, washing the polymer pump between polymer type changes, and during instrument shut down. The pouch has adequate volume for a one-time use. Incorporated into the label is a radio frequency identification (RFID) tag. The top part of the pouch fitment is sealed with a plastic film, which should be removed prior to installation on the instrument.
For Research Use Only. Not for use in diagnostic procedures.";Pack;1;pack;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4393718;"Store at RT; use before each polymer change";
6; GeneScan - 600 LIZ laboratory reagent for 3500 analyzer; GeneScan - 600 LIZ laboratory reagent for 3500 analyzer;4408399;Thermo Fisher Scientific, USA;Genomik & Sekanslama;Size standard;2 ????/ pack;"GeneScan 600 LIZ Size Standard; 600 bp dye-labeled size standard for CE fragment analysis";"The GeneScan™ 600 LIZ™ Size Standard v2.0 is a fifth dye-labeled high density size standard for the reproducible sizing of fragment analysis data. This updated version incorporates manufacturing process enhancements for improved lot to lot consistency and peak height balance compared to the existing GeneScan™ 600 LIZ™ Size Standard. This product is required for normalization on the 3500 Series Genetic Analyzers, and can also be used as a traditional size standard on all of the Applied Biosystems™ capillary electrophoresis systems. Use this size standard for fragments between 20 and 600 bp. The standard contains 36 LIZ™ dye-labeled, single-stranded DNA fragments. Since the standard is labeled with the fifth dye, users can genotype a greater number of markers in a given lane, compared to the four-dye system.

Size Fragments in the 20-600 Nucleotides Range
GeneScan™ 600 LIZ™ Size Standard v2.0 is designed for sizing DNA fragments in the 20-600 nucleotides range and provides 36 single-stranded labeled fragments of: 20, 40, 60, 80, 100, 114, 120, 140, 160, 180, 200, 214, 220, 240, 250, 260, 280, 300, 314, 320, 340, 360, 380, 400, 414, 420, 440, 460, 480, 500, 514, 520, 540, 560, 580 and 600. The sizing curve generated from fragments make the GeneScan™ 600 LIZ™ Size Standard v2.0 ideal for use for a variety of fragment analysis applications such as Microsatellites, Fragment Length Polymorphisms and Relative Fluorescent Quantitation. Each of the DNA fragments is labeled with the LIZ™ fluorophore which results in a single peak when run under denaturing conditions. With the 5th dye LIZ™ your marker fragments can be labeled with the dyes FAM™, VIC™ , NED™ or PET™.

For Research Use Only. Not for use in diagnostics procedures.
For Research Use Only. Not for use in diagnostic procedures.";Pack;2;pack;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4408399;"Store at -20°C; protect from light";
7;Quantifiler™ Trio DNA Quantification Kit;Quantifiler™ Trio DNA Quantification Kit;4482910;Thermo Fisher Scientific, USA;Genomik & Sekanslama;DNA quantification kit;3 ?????/ kit;"Simultaneous quantification of human total & male DNA via real-time PCR; sensitivity 5 pg/?L–100 ng/?L; ISO 18385 compliant";"The Quantifiler Trio DNA Quantification Kit is a robust kit that enables forensic laboratories to simultaneously obtain a quantitative and qualitative assessment of total human and human male DNA in a single, highly sensitive real-time PCR reaction. This guides selection of the optimal short tandem repeat (STR) analysis chemistry (autosomal, Y-STR, or miniSTR) and streamlines the workflow while increasing downstream analysis success rates. The kit includes enhanced quantity and quality indicators that help deliver accurate, sensitive, and specific results that work together with the HID Real Time PCR Analysis Software v1.2 to enable informative and integrated workflow decisions. The Quantifiler Trio kit and the HID v1.2 software are designed for use with the Applied Biosystems 7500 Real-Time PCR System.

Highly Accurate
• Determines the ratio of human male to female DNA, even with minute male and excess female DNA (1:4000 or greater)

Highly Sensitive
• <1 pg/?L limit of detection. Quantifies DNA concentrations from 0.005 ng/uL to >50 ng/uL, enabling the use of a broad range of concentrations, with flexible protocols for higher concentration samples.

Highly Specific
• Detects human and higher primate DNA

Highly Informative
• Quantifies DNA from a wide variety of sources, including buccal swabs, blood, semen, tissue, and other human DNA sources, making this kit suitable for casework sample screening, databasing, and paternity labs
• Guides selection of the optimal AmpFLSTR PCR Amplification Kit (autosomal, Y-STR, or miniSTR)
• Quality Index helps improve prediction of STR amplification performance and estimation of DNA quantity in degraded samples, especially in the presence of inhibitors.
• Enhanced inhibition detects the presence of PCR inhibitors (suggesting additional purification of extract and/or whether a mini STR kit like the MiniFiler, NGM SElect, or GlobalFiler kit may be necessary).

Highly Reliable
• Uses gold standard TaqMan real-time PCR technology already widely adopted in forensic laboratories. Real-time PCR has the widest dynamic range of any DNA detection technology, allowing for more accurate quantification of low level samples.

Highly Efficient
• Dual quantification system minimizes sample consumption and streamlines workflow, with results in ?1 hour.
• Optimized and validated as part of a complete DNA testing system with the Applied Biosystems 7500 Real-Time PCR System, AmpFLSTR PCR Amplification kits, and HID Real Time PCR Analysis Software v 1.2 to enable high quality STR profiling results.

A Highly Informative Workflow Tool
The Quantifiler Trio DNA Quantification Kit has been optimized and validated as part of a complete DNA testing system with the AmpFLSTR PCR Amplification kits. The chemistry is compatible with commonly used extraction technologies for easy integration into current lab workflows. This enables the Quantifiler Trio kit to function as a critical component of an improved and integrated workflow for more effective processing of forensic casework samples. Both the kit and the software are fully automatable with most liquid handling robotic platforms.

Comparison to Quantifiler Duo Kits
There are several specific differences between the Quantifiler Trio DNA Quantification Kit and the Quantifiler Duo DNA Quantification Kit, including:
Target Loci: The Quantifiler Trio kit uses multiple-copy target loci for improved detection sensitivity. There are three human-specific target loci: Small Autosomal, Large Autosomal, and a Y-chromosome target. Each consists of multiple copies dispersed on various autosomal chromosomes (Small Autosomal and Large Autosomal) or multiple copies on the Y-chromosome.
Optimized Chemistry: The assay chemistry has been optimized for more efficient multiplexing, faster PCR cycle times (?1 hour), and better inhibitor tolerance. The overall performance improvements allow the Quantifiler Trio kit to better match the enhanced performance of newer STR kits that are designed to accommodate more challenging samples, like the Identifiler Plus, NGM SElect, or GlobalFiler PCR Amplification kits.
DNA Standard: The Quantifiler Trio DNA Standard is a pooled, human genomic, smaller molecular weight DNA for improved stability, homogeneity, and correlation with forensic samples. There is a five point standard curve protocol that helps improve efficiency with up to 6% more samples on a plate.
Packaging Features: To help laboratories control for and minimize the potential of reagent contamination, as well as to better accommodate automated platforms, the Quantifiler Trio DNA Quantification Kit has some key packaging features:
    --Four 100-reaction individual-use screw cap tubes (1 tube will process a 96 well plate)
    --The DNA standard is packaged in a separate box.
    --Both the reagent and DNA standard box are shipped together in an STR-style sleeve with peel & stick reagent lot barcode labels. This allows customers to separate out the reagents easily for special storage upon arrival at the laboratory.";Kit;400 rxn;kit;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4482910;"Store at -20°C; for forensic/paternity use only";
8;GlobalFiler™ Express PCR Amplification Kit;GlobalFiler™ Express PCR Amplification Kit;4476609;Thermo Fisher Scientific, USA;Genomik & Sekanslama;STR PCR amplification kit;4 ?????/ kit;"6-dye, 24-locus STR kit for database/single-source samples; ~40 min amplification; CODIS/ENFSI compatible";"The GlobalFiler Express PCR Amplification Kit is the first 6-dye, 24-locus STR kit that combines maximum compatibility with global databasing loci standards, with dramatically reduced amplification time and superior discrimination power, to enable forensic DNA labs worldwide to maximize information recovery and improve overall efficiency. The GlobalFiler Express kit is part of a fully integrated and validated forensic DNA workflow backed by best-in-class global training, service, and support. This kit is optimized for database and single-source samples; for casework samples, please see our GlobalFiler PCR Amplification Kit.

Key Features:

• Up to 5-times faster amplification time than previous-generation kits
• DNA results in <2 hours—using current CE platforms
• Optimized protocols for blood and buccal samples deposited on swab or paper substrates
• The only kit with all markers recommended for inclusion by the CODIS Core Loci Working Group, including all markers commonly used in Europe, for maximum global database compatibility

The GlobalFiler Express kit is a robust and reliable single-amplification STR multiplex kit optimized for use with database and single-source samples. The kit leverages new dyes for the incorporation of additional markers, generating the most discriminating kit available to the forensic community. The kit contains all of the markers included in the major global databases and utilizes optimized reagents, thermal cycling parameters, and the latest advances in oligo synthesis and purification to enable the highest quality results specific to the sample type being processed. Maintenance of the NGM SElect and Identifiler primer sequences helps to ensure maximum concordance with previously typed samples. In addition, multiple gender markers have been added to the multiplex to enable accurate typing of male samples, even highly degraded or Y-negative samples, while increased genotyping accuracy is obtained with the expansion of the allelic ladder allele ranges to include all rare alleles as described in the literature (STRbase).

Experience Matters
We are the only company in the world that designs and validates its reagents, instruments, and data analysis software together as an integrated system for DNA testing. Technical service scientists and field application specialists are available to answer your technical questions, review data, and make recommendations on how to perform assays and troubleshoot results. All of these resources help ensure success when using Applied Biosystems human identification solutions in your laboratory.";Kit;200 rxn;kit;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4474566;"Store at -15°C to -25°C; after opening store at 2–8°C for up to 6 months";"4474566 is not available; web evidence for this product line points to 4476609/4474665, not 4474566."
